,Product A,Product B,is_same
1,BLUE DIAMOND BLUE DIAMOND - Almond Breeze (Original) 946ml x12 | Buy More Save More 946mlx12,BLUE DIAMOND BLUE DIAMOND - Almond Breeze Unsweetened (Original) 946ml x12 | Buy More Save More 946mlx12,0
21,EVIAN evian - [Dealer's Goods of HK] [Full Case]  膠樽裝 France Evian Natural Mineral Water (330ml X 24) 330mlx24,EVIAN evian - [Dealer's Goods of HK] [Full Case] 罐裝 France Sparkling Natural Mineral Water (330ml X 24) 330mlx24,0
29,"SANGARIA SANGARIA - 【Full Case 24 Btls】 Zero Sugar Rich Green Tea 500ml (Japanese Beverage, Parallel Import)BD2027/02/28 500mlx24","SANGARIA SANGARIA - 【Full Case 24 Btls】 Zero Sugar Green Tea 500ml (Japanese Beverage, Parallel Import)BBD2027/02/28 500mlx24",0
42,KAGOME KAGOME - Kagome Japan Made 100% Veg Fruit Mix Juice Berry Salad Paper Pack - Full Case 200ml Parallel Import 200mlx24,KAGOME KAGOME - Kagome Japan Made 100% Vegetable Fruit Mix Juice Apple Salad Paper Pack - Full Case 200ml - 0183 200mlx24,0
48,VITASOY Vitasoy - Vitasoy - Full Case Malted Soya Bean Milk 250ml (250ml x 6 ) x 4 250mlx6,VITASOY Vitasoy - Vitasoy - Full Case Soya Bean Milk 250ml (250ml x 6 ) x 4 250mlx6,0
54,STARBUCKS 星巴克 - Cappuccino Coffee Capsules [Applicable to NESCAFÉ® Dolce Gusto® Coffee Machine] 12servingsx1,STARBUCKS 星巴克 - Caramel Macchiato Coffee Capsules [Applicable to NESCAFÉ® Dolce Gusto® Coffee Machine] 12servingsx1,0
19,VOLVIC Volvic - Volvic Natural Mineral Water France - Full Case 12x1.5L (Random Packing) 新貨，到期日：2027年12月 5lx12,VOLVIC Volvic - Volvic Natural Mineral Water France - Full Case 12x1.5L (Random Packing) 5lx12,1
27,ROBIFF Robiff - [Full Case] Robiff Oolong Tea 900ml x 12 900mlx12,ROBIFF Robiff - Robiff Oolong Tea_ Full Case (900ml x 12) 900mlx12,1
28,VITA Vita - Low Sugar Chrysanthemum Tea 250ml x 6 x 4 250mlx6,VITA Vita - Vita - Full Case Low Sugar Chrysanthemum Tea (250ml x 6) x 4 250mlx6,1
30,VITA Vita - Low Sugar Chocolate Milk Beverage 250ml x 6 x 4 250mlx6,VITA Vita - Vita - Full Case low Sugar Chocolate Milk Beverage (250ml x 6 ) x 4 250mlx6,1
32,VITA Vita - Hi-Calcium Low Fat Milk Beverage 250ml x 6 x 4 250mlx6,VITA Vita - Vita - Full Case Hi-Calcium Low Fat Milk Beverage (250ml x 6 ) x 4 250mlx6,1
