Product Name,Product Spec
Vita - Hi-Calcium Low Fat Milk Beverage 250ml x 6 x 4,250ml x 6 x 4
Vita - Low Sugar Chocolate Milk Beverage 250ml x 6 x 4,250ml x 6 x 4
NESCAFÉ - [原箱]雀巢香滑咖啡250mlX24 [Full Caes] Nescafe Coffee Regular 250mlX24 Beverage[Authentic product],
Authentic Tea House - Authentic Tea House - Gyokuro Green Tea Beverage (No Sugar) Bottled - Full Case 500ml,24x500ml
DUTCH LADY® - [原箱]子母原味牛奶飲品 Dutch Original Milk Beverage 225 mL×3 EXP:3months or above【original box】,
Authentic Tea House - Full case - Authentic Tea House - Yinhao Jasmine Green Tea Beverage Bottled-500ml Random Packaging,500ml x 24
Maison Perrier - CHIC Rosellini Mocktail Sparkling Beverage Can 250ml x 4,250ml x 4
OATLY! - Oatly Barista Oat Beverage[Made in UK]- 1 Liter # Coffee # Healthy Parallel Import,1 L
Nongfu Spring - Nongfu Spring Oriental Leaf Sugar-Free Oolong Tea  335ml×24 Bottles |  Tea Beverage Parallel Goods,24x335ml
Maison Perrier - MAGNETIC JUICE Pineapple & Mango Sparkling Beverage Can 250ml x 4,250ml x 4 cans
Authentic Tea House - Authentic Tea House-Dahongpao Oolong Tea Beverage - Full box (no sugar) (500ml ) x 24,
"Suntory - 【Full Case 24 Btls】IYEMON Kyoto Strong Green Tea 600ml (Japanese beverage, direct from Japan)",600ml x24
OATLY! - Oatly Barista Oat Beverage [Made in UK]- 2x1 Liter # Coffee # Healthy Parallel Import Random Packing,2x1 L
OATLY! - Oatly Barista Oat Beverage【Made in UK】 -4 x 1 Liter #Coffee # Healthy Parallel Import Random Packing,4x1 L
ITO EN - ITOEn Green Tea Strong Tea Fat Reduction Functional Beverage Beverage PET 2Lx6 bottles/box,
CR C'ESTBON - C'estbon - Full Case Dangshan Pear Fruit Beverage (450ml) x 15,
Maison Perrier - CHIC Lemonjito Mocktail Sparkling Beverage Can 250ml x 4,250ml x 4
Wong Lo Kat - Herbal tea beverage (paper packaging) 24x250ml (original box) Summer thirst-quenching plant beverage,24x250ml
Authentic Tea House - Full case - Taiwan Jing-Xuan Oolong Tea Beverage - Full Case 500ml,500ml x 24
SANLIN - Sanlin Original Zero Sugar Soda Water 0 Calorie - Full Case 24 x 335ml | Sparkling Beverage,24x335ml
Glico - Solid fruit beverage Food fiber does not use granulated almond milk 200ml×3 (parallel import) 48862,
