Product Name,Product Brand,Product SpecValue,Product SpecMultiplier,Product SpecUnit,Product NameCleaned,Product NameComprehensive
Vita - Hi-Calcium Low Fat Milk Beverage 250ml x 6 x 4,VITA,250,6,ml,hicalcium low fat milk beverage,VITA Vita - Hi-Calcium Low Fat Milk Beverage 250ml x 6 x 4 250mlx6
Vita - Low Sugar Chocolate Milk Beverage 250ml x 6 x 4,VITA,250,6,ml,low sugar chocolate milk beverage,VITA Vita - Low Sugar Chocolate Milk Beverage 250ml x 6 x 4 250mlx6
NESCAFÉ - [原箱]雀巢香滑咖啡250mlX24 [Full Caes] Nescafe Coffee Regular 250mlX24 Beverage[Authentic product],NESCAFE,250,24,ml,nescaf    caes  coffee regular  beverageauthentic product,NESCAFE NESCAFÉ - [原箱]雀巢香滑咖啡250mlX24 [Full Caes] Nescafe Coffee Regular 250mlX24 Beverage[Authentic product] 250mlx24
Authentic Tea House - Authentic Tea House - Gyokuro Green Tea Beverage (No Sugar) Bottled - Full Case 500ml,AUTHENTIC TEA HOUSE,500,24,ml,gyokuro green tea beverage no sugar d,AUTHENTIC TEA HOUSE Authentic Tea House - Authentic Tea House - Gyokuro Green Tea Beverage (No Sugar) Bottled - Full Case 500ml 500mlx24
DUTCH LADY® - [原箱]子母原味牛奶飲品 Dutch Original Milk Beverage 225 mL×3 EXP:3months or above【original box】,DUTCH LADY,225,3,ml,dutch original milk beverage  expmonths or aboveoriginal box,DUTCH LADY DUTCH LADY® - [原箱]子母原味牛奶飲品 Dutch Original Milk Beverage 225 mL×3 EXP:3months or above【original box】 225mlx3
Authentic Tea House - Full case - Authentic Tea House - Yinhao Jasmine Green Tea Beverage Bottled-500ml Random Packaging,AUTHENTIC TEA HOUSE,500,24,ml,yinhao jasmine green tea beverage dml,AUTHENTIC TEA HOUSE Authentic Tea House - Full case - Authentic Tea House - Yinhao Jasmine Green Tea Beverage Bottled-500ml Random Packaging 500mlx24
Maison Perrier - CHIC Rosellini Mocktail Sparkling Beverage Can 250ml x 4,MAISON PERRIER,250,4,ml,chic rosellini mocktail sparkling beverage can,MAISON PERRIER Maison Perrier - CHIC Rosellini Mocktail Sparkling Beverage Can 250ml x 4 250mlx4
OATLY! - Oatly Barista Oat Beverage[Made in UK]- 1 Liter # Coffee # Healthy Parallel Import,OATLY!,1,1,l,oatly barista oat beveragemade in uk iter  coffee  healthy,OATLY! OATLY! - Oatly Barista Oat Beverage[Made in UK]- 1 Liter # Coffee # Healthy Parallel Import 1lx1
Nongfu Spring - Nongfu Spring Oriental Leaf Sugar-Free Oolong Tea  335ml×24 Bottles |  Tea Beverage Parallel Goods,NONGFU SPRING,335,24,ml,oriental leaf sugarfree oolong tea   s   tea beverage  goods,NONGFU SPRING Nongfu Spring - Nongfu Spring Oriental Leaf Sugar-Free Oolong Tea  335ml×24 Bottles |  Tea Beverage Parallel Goods 335mlx24
Maison Perrier - MAGNETIC JUICE Pineapple & Mango Sparkling Beverage Can 250ml x 4,MAISON PERRIER,250,4,ml,magnetic juice pineapple  mango sparkling beverage can  x,MAISON PERRIER Maison Perrier - MAGNETIC JUICE Pineapple & Mango Sparkling Beverage Can 250ml x 4 250mlx4
Authentic Tea House - Authentic Tea House-Dahongpao Oolong Tea Beverage - Full box (no sugar) (500ml ) x 24,AUTHENTIC TEA HOUSE,500,24,ml,dahongpao oolong tea beverage   box no sugar   x,AUTHENTIC TEA HOUSE Authentic Tea House - Authentic Tea House-Dahongpao Oolong Tea Beverage - Full box (no sugar) (500ml ) x 24 500mlx24
"Suntory - 【Full Case 24 Btls】IYEMON Kyoto Strong Green Tea 600ml (Japanese beverage, direct from Japan)",SUNTORY,600,24,ml,btlsiyemon kyoto strong green tea  japanese beverage direct from japan,"SUNTORY Suntory - 【Full Case 24 Btls】IYEMON Kyoto Strong Green Tea 600ml (Japanese beverage, direct from Japan) 600mlx24"
OATLY! - Oatly Barista Oat Beverage [Made in UK]- 2x1 Liter # Coffee # Healthy Parallel Import Random Packing,OATLY!,1,2,l,oatly barista oat beverage made in uk iter  coffee  healthy,OATLY! OATLY! - Oatly Barista Oat Beverage [Made in UK]- 2x1 Liter # Coffee # Healthy Parallel Import Random Packing 1lx2
